Version,NumRuns,IO,ConfigFile,Init,SurfaceSetting,SurfaceCompute,InteriorSetting,InteriorCompute
Fortran,1, 0.1314, 0.0200, 0.0671, 0.0000, 0.0001, 0.0000, 0.0009
Chapel,1,0.374309,0.005106,0.061037,1.5e-05,0.000143,0.001904,0.000939
Fortran,5, 0.3220, 0.0820, 0.2404, 0.0000, 0.0003, 0.0001, 0.0043
Chapel,5,1.62208,0.027141,0.219758,8e-05,0.000562,0.012191,0.004523
Fortran,10, 0.5175, 0.1320, 0.4561, 0.0000, 0.0005, 0.0001, 0.0086
Chapel,10,3.25917,0.049441,0.420205,0.000159,0.001078,0.017644,0.008572
Fortran,50, 2.5857, 0.3550, 2.1919, 0.0001, 0.0022, 0.0004, 0.0426
Chapel,50,15.7312,0.245575,2.02233,0.000793,0.005232,0.082105,0.042327
Fortran,100, 5.6481, 0.9360, 4.2875, 0.0002, 0.0045, 0.0009, 0.0849
Chapel,100,32.1445,0.504298,4.04069,0.001597,0.010444,0.202715,0.084695
Fortran,500,24.4934, 3.5210,21.1731, 0.0008, 0.0223, 0.0043, 0.4257
Chapel,500,232.797,2.5588,20.2137,0.008091,0.052559,0.905122,0.425039
